"wojewodztwo","powiat_miasto","liczba_przypadkow","liczba_na_10_tys_mieszkancow","zgony","stan_rekordu_na","Date"
"Cały kraj","Cały kraj",10141,2.64,540,2020-11-23,2020-11-24
"dolnośląskie","bolesławiecki",62,6.89,2,2020-11-23,2020-11-24
"dolnośląskie","dzierżoniowski",31,3.08,NA,2020-11-23,2020-11-24
"dolnośląskie","głogowski",19,2.14,1,2020-11-23,2020-11-24
"dolnośląskie","górowski",3,0.86,NA,2020-11-23,2020-11-24
"dolnośląskie","jaworski",30,6.01,1,2020-11-23,2020-11-24
"dolnośląskie","jeleniogórski",40,6.31,3,2020-11-23,2020-11-24
"dolnośląskie","kamiennogórski",21,4.88,NA,2020-11-23,2020-11-24
"dolnośląskie","kłodzki",20,1.27,4,2020-11-23,2020-11-24
"dolnośląskie","legnicki",28,5.07,2,2020-11-23,2020-11-24
"dolnośląskie","lubański",18,3.33,4,2020-11-23,2020-11-24
"dolnośląskie","lubiński",50,4.71,5,2020-11-23,2020-11-24
"dolnośląskie","lwówecki",17,3.71,NA,2020-11-23,2020-11-24
"dolnośląskie","milicki",4,1.08,NA,2020-11-23,2020-11-24
"dolnośląskie","oleśnicki",29,2.7,1,2020-11-23,2020-11-24
"dolnośląskie","oławski",19,2.47,1,2020-11-23,2020-11-24
"dolnośląskie","polkowicki",8,1.27,NA,2020-11-23,2020-11-24
"dolnośląskie","strzeliński",21,4.83,NA,2020-11-23,2020-11-24
"dolnośląskie","średzki",25,4.52,1,2020-11-23,2020-11-24
"dolnośląskie","świdnicki",50,3.19,NA,2020-11-23,2020-11-24
"dolnośląskie","trzebnicki",35,4.1,NA,2020-11-23,2020-11-24
"dolnośląskie","wałbrzyski",20,3.61,1,2020-11-23,2020-11-24
"dolnośląskie","wołowski",5,1.07,1,2020-11-23,2020-11-24
"dolnośląskie","wrocławski",48,3.12,NA,2020-11-23,2020-11-24
"dolnośląskie","ząbkowicki",11,1.71,2,2020-11-23,2020-11-24
"dolnośląskie","zgorzelecki",42,4.73,NA,2020-11-23,2020-11-24
"dolnośląskie","złotoryjski",22,5.08,NA,2020-11-23,2020-11-24
"dolnośląskie","Jelenia Góra",58,7.36,4,2020-11-23,2020-11-24
"dolnośląskie","Legnica",29,2.93,2,2020-11-23,2020-11-24
"dolnośląskie","Wrocław",217,3.37,14,2020-11-23,2020-11-24
"dolnośląskie","Wałbrzych",51,4.61,2,2020-11-23,2020-11-24
"kujawsko-pomorskie","aleksandrowski",9,1.64,1,2020-11-23,2020-11-24
"kujawsko-pomorskie","brodnicki",16,2.02,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","bydgoski",35,2.93,2,2020-11-23,2020-11-24
"kujawsko-pomorskie","chełmiński",15,2.89,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","golubsko-dobrzyński",3,0.67,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","grudziądzki",11,2.74,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","inowrocławski",27,1.69,2,2020-11-23,2020-11-24
"kujawsko-pomorskie","lipnowski",10,1.52,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","mogileński",2,0.44,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","nakielski",29,3.36,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","radziejowski",14,3.48,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","rypiński",6,1.38,NA,2020-11-23,2020-11-24
"kujawsko-pomorskie","sępoleński",13,3.18,NA,2020-11-23,2020-11-24
