wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;Cały kraj;8593;2.24;143;39;104;656;185321;34297;9232;24187;878;t0000;2020-12-19
dolnośląskie;bolesławiecki;5;0.56;0;0;0;0;376;23;5;18;0;t0201;2020-12-19
dolnośląskie;dzierżoniowski;11;1.09;0;0;0;3;232;52;12;39;1;t0202;2020-12-19
dolnośląskie;głogowski;9;1.01;0;0;0;1;297;67;9;58;0;t0203;2020-12-19
dolnośląskie;górowski;1;0.29;0;0;0;0;130;14;1;13;0;t0204;2020-12-19
dolnośląskie;jaworski;2;0.4;0;0;0;0;159;9;2;7;0;t0205;2020-12-19
dolnośląskie;jeleniogórski;7;1.1;0;0;0;5;278;39;7;30;2;t0206;2020-12-19
dolnośląskie;kamiennogórski;5;1.16;0;0;0;0;128;17;5;11;1;t0207;2020-12-19
dolnośląskie;kłodzki;22;1.4;0;0;0;1;403;122;25;97;0;t0208;2020-12-19
dolnośląskie;legnicki;6;1.09;0;0;0;0;171;31;6;25;0;t0209;2020-12-19
dolnośląskie;lubański;10;1.85;0;0;0;0;307;19;10;8;1;t0210;2020-12-19
dolnośląskie;lubiński;7;0.66;1;0;1;0;466;68;9;59;0;t0211;2020-12-19
dolnośląskie;lwówecki;7;1.53;0;0;0;0;172;21;7;13;1;t0212;2020-12-19
dolnośląskie;milicki;7;1.9;0;0;0;1;125;30;8;22;0;t0213;2020-12-19
dolnośląskie;oleśnicki;22;2.05;1;0;1;0;495;83;24;59;0;t0214;2020-12-19
dolnośląskie;oławski;15;1.95;0;0;0;0;481;80;15;63;2;t0215;2020-12-19
dolnośląskie;polkowicki;5;0.79;0;0;0;0;232;26;5;21;0;t0216;2020-12-19
dolnośląskie;strzeliński;3;0.69;0;0;0;0;156;23;3;20;0;t0217;2020-12-19
dolnośląskie;średzki;6;1.08;0;0;0;0;254;31;7;24;0;t0218;2020-12-19
dolnośląskie;świdnicki;24;1.53;0;0;0;1;916;91;29;60;2;t0219;2020-12-19
dolnośląskie;trzebnicki;21;2.46;0;0;0;0;405;75;21;54;0;t0220;2020-12-19
dolnośląskie;wałbrzyski;17;3.07;0;0;0;3;347;36;17;19;0;t0221;2020-12-19
dolnośląskie;wołowski;8;1.71;0;0;0;0;246;36;11;24;1;t0222;2020-12-19
dolnośląskie;wrocławski;33;2.14;1;0;1;0;925;139;34;104;1;t0223;2020-12-19
dolnośląskie;ząbkowicki;4;0.62;0;0;0;0;207;25;4;19;2;t0224;2020-12-19
dolnośląskie;zgorzelecki;0;0.0;0;0;0;0;437;4;0;4;0;t0225;2020-12-19
dolnośląskie;złotoryjski;4;0.92;0;0;0;1;280;22;4;18;0;t0226;2020-12-19
dolnośląskie;Jelenia Góra;17;2.16;0;0;0;0;337;105;18;87;0;t0261;2020-12-19
dolnośląskie;Legnica;22;2.22;0;0;0;0;461;72;22;49;1;t0262;2020-12-19
dolnośląskie;Wrocław;158;2.45;3;0;3;3;2632;750;164;575;11;t0264;2020-12-19
dolnośląskie;Wałbrzych;28;2.53;2;0;2;0;450;105;28;76;1;t0265;2020-12-19
kujawsko-pomorskie;aleksandrowski;12;2.18;1;0;1;4;229;38;12;24;2;t0401;2020-12-19
kujawsko-pomorskie;brodnicki;10;1.26;0;0;0;0;469;36;10;24;2;t0402;2020-12-19
kujawsko-pomorskie;bydgoski;44;3.68;0;0;0;17;1101;142;47;90;5;t0403;2020-12-19
kujawsko-pomorskie;chełmiński;20;3.86;0;0;0;1;410;63;20;41;2;t0404;2020-12-19
kujawsko-pomorskie;golubsko-dobrzyński;12;2.67;1;0;1;0;235;37;12;23;2;t0405;2020-12-19
kujawsko-pomorskie;grudziądzki;8;1.99;1;0;1;0;376;45;8;36;1;t0406;2020-12-19
kujawsko-pomorskie;inowrocławski;71;4.46;0;0;0;8;1007;159;73;84;2;t0407;2020-12-19
kujawsko-pomorskie;lipnowski;14;2.13;1;1;0;19;447;54;18;33;3;t0408;2020-12-19
kujawsko-pomorskie;mogileński;15;3.3;0;0;0;3;192;39;15;24;0;t0409;2020-12-19
kujawsko-pomorskie;nakielski;40;4.64;1;0;1;1;869;85;42;40;3;t0410;2020-12-19
kujawsko-pomorskie;radziejowski;15;3.73;0;0;0;1;282;46;15;31;0;t0411;2020-12-19
kujawsko-pomorskie;rypiński;9;2.07;0;0;0;0;209;36;10;25;1;t0412;2020-12-19
kujawsko-pomorskie;sępoleński;7;1.71;2;0;2;1;297;31;8;23;0;t0413;2020-12-19
kujawsko-pomorskie;świecki;37;3.74;0;0;0;1;839;95;37;56;2;t0414;2020-12-19
kujawsko-pomorskie;toruński;55;5.05;0;0;0;2;1164;137;56;78;3;t0415;2020-12-19
kujawsko-pomorskie;tucholski;31;6.41;0;0;0;0;459;67;31;32;4;t0416;2020-12-19
kujawsko-pomorskie;wąbrzeski;5;1.47;1;0;1;0;232;19;6;12;1;t0417;2020-12-19
kujawsko-pomorskie;włocławski;29;3.38;1;0;1;0;474;131;30;94;7;t0418;2020-12-19
kujawsko-pomorskie;żniński;35;5.0;1;0;1;1;560;82;38;42;2;t0419;2020-12-19
kujawsko-pomorskie;Bydgoszcz;169;4.87;0;0;0;80;2631;577;182;373;22;t0461;2020-12-19
kujawsko-pomorskie;Grudziądz;38;4.04;1;0;1;1;847;124;39;81;4;t0462;2020-12-19
kujawsko-pomorskie;Toruń;99;4.92;0;0;0;14;1488;343;100;238;5;t0463;2020-12-19
kujawsko-pomorskie;Włocławek;18;1.65;2;0;2;0;578;82;19;60;3;t0464;2020-12-19
lubelskie;bialski;9;0.81;3;3;0;3;501;72;11;59;2;t0601;2020-12-19
lubelskie;biłgorajski;0;0.0;1;0;1;0;205;31;0;31;0;t0602;2020-12-19
lubelskie;chełmski;10;1.29;0;0;0;0;397;32;10;20;2;t0603;2020-12-19
lubelskie;hrubieszowski;2;0.32;0;0;0;2;282;37;3;33;1;t0604;2020-12-19
lubelskie;janowski;1;0.22;3;0;3;0;87;8;1;7;0;t0605;2020-12-19
lubelskie;krasnostawski;12;1.91;0;0;0;0;433;29;12;17;0;t0606;2020-12-19
lubelskie;kraśnicki;16;1.68;1;0;1;0;380;43;21;22;0;t0607;2020-12-19
lubelskie;lubartowski;9;1.02;4;0;4;0;408;43;10;33;0;t0608;2020-12-19
lubelskie;lubelski;38;2.44;0;0;0;1;842;101;40;60;1;t0609;2020-12-19
lubelskie;łęczyński;15;2.62;0;0;0;0;358;28;15;13;0;t0610;2020-12-19
lubelskie;łukowski;2;0.19;0;0;0;0;211;17;2;14;1;t0611;2020-12-19
lubelskie;opolski;14;2.37;0;0;0;2;246;32;15;17;0;t0612;2020-12-19
lubelskie;parczewski;2;0.58;0;0;0;0;147;11;2;9;0;t0613;2020-12-19
lubelskie;puławski;23;2.04;0;0;0;0;643;99;23;75;1;t0614;2020-12-19
lubelskie;radzyński;0;0.0;2;0;2;0;163;7;1;6;0;t0615;2020-12-19
lubelskie;rycki;7;1.25;0;0;0;3;203;31;7;24;0;t0616;2020-12-19
lubelskie;świdnicki;30;4.18;0;0;0;0;574;66;32;34;0;t0617;2020-12-19
lubelskie;tomaszowski;2;0.24;0;0;0;3;219;31;2;28;1;t0618;2020-12-19
lubelskie;włodawski;4;1.05;2;0;2;1;155;18;4;14;0;t0619;2020-12-19
lubelskie;zamojski;5;0.47;0;0;0;0;255;57;5;50;2;t0620;2020-12-19
lubelskie;Biała Podlaska;14;2.45;2;2;0;1;250;74;15;56;3;t0661;2020-12-19
lubelskie;Chełm;19;3.09;0;0;0;0;453;48;20;27;1;t0662;2020-12-19
lubelskie;Lublin;54;1.59;0;0;0;4;1617;240;58;181;1;t0663;2020-12-19
lubelskie;Zamość;15;2.37;2;0;2;0;163;73;16;56;1;t0664;2020-12-19
lubuskie;gorzowski;18;2.5;0;0;0;1;464;58;18;35;5;t0801;2020-12-19
lubuskie;krośnieński;70;12.8;1;1;0;0;458;207;70;134;3;t0802;2020-12-19
lubuskie;międzyrzecki;14;2.44;0;0;0;1;286;55;16;38;1;t0803;2020-12-19
lubuskie;nowosolski;8;0.93;0;0;0;0;305;46;9;37;0;t0804;2020-12-19
lubuskie;słubicki;12;2.56;0;0;0;1;492;34;15;17;2;t0805;2020-12-19
lubuskie;strzelecko-drezdenecki;17;3.48;0;0;0;0;229;42;17;25;0;t0806;2020-12-19
lubuskie;sulęciński;8;2.28;0;0;0;1;319;43;11;31;1;t0807;2020-12-19
lubuskie;świebodziński;17;3.05;0;0;0;0;378;81;18;59;4;t0808;2020-12-19
lubuskie;zielonogórski;22;2.91;0;0;0;0;488;67;23;40;4;t0809;2020-12-19
lubuskie;żagański;11;1.4;0;0;0;0;321;35;11;23;1;t0810;2020-12-19
lubuskie;żarski;23;2.4;0;0;0;0;414;66;26;36;4;t0811;2020-12-19
lubuskie;wschowski;2;0.52;0;0;0;0;184;24;2;20;2;t0812;2020-12-19
lubuskie;Gorzów Wielkopolski;43;3.49;0;0;0;0;817;107;44;59;4;t0861;2020-12-19
lubuskie;Zielona Góra;54;3.82;0;0;0;3;830;172;55;111;6;t0862;2020-12-19
łódzkie;bełchatowski;15;1.33;3;0;3;0;304;46;16;28;2;t1001;2020-12-19
łódzkie;kutnowski;14;1.46;0;0;0;1;530;52;14;37;1;t1002;2020-12-19
łódzkie;łaski;10;2.01;0;0;0;3;177;24;10;14;0;t1003;2020-12-19
łódzkie;łęczycki;4;0.81;0;0;0;1;433;26;4;22;0;t1004;2020-12-19
łódzkie;łowicki;3;0.39;0;0;0;0;291;34;3;30;1;t1005;2020-12-19
łódzkie;łódzki wschodni;16;2.21;0;0;0;1;368;60;16;42;2;t1006;2020-12-19
łódzkie;opoczyński;1;0.13;0;0;0;0;106;20;1;19;0;t1007;2020-12-19
łódzkie;pabianicki;32;2.68;0;0;0;2;554;103;33;66;4;t1008;2020-12-19
łódzkie;pajęczański;11;2.15;0;0;0;1;139;36;12;22;2;t1009;2020-12-19
łódzkie;piotrkowski;10;1.09;0;0;0;0;302;57;12;44;1;t1010;2020-12-19
łódzkie;poddębicki;11;2.68;0;0;0;0;261;31;11;20;0;t1011;2020-12-19
łódzkie;radomszczański;16;1.43;0;0;0;0;320;85;20;64;1;t1012;2020-12-19
łódzkie;rawski;3;0.62;1;1;0;0;242;29;3;26;0;t1013;2020-12-19
łódzkie;sieradzki;13;1.11;4;0;4;1;464;102;16;80;6;t1014;2020-12-19
łódzkie;skierniewicki;3;0.79;0;0;0;0;242;18;4;13;1;t1015;2020-12-19
łódzkie;tomaszowski;3;0.26;0;0;0;0;463;34;3;30;1;t1016;2020-12-19
łódzkie;wieluński;14;1.84;0;0;0;2;268;36;15;21;0;t1017;2020-12-19
łódzkie;wieruszowski;6;1.43;0;0;0;0;125;28;6;22;0;t1018;2020-12-19
łódzkie;zduńskowolski;4;0.6;1;0;1;0;258;33;4;28;1;t1019;2020-12-19
łódzkie;zgierski;35;2.11;0;0;0;3;970;140;35;104;1;t1020;2020-12-19
łódzkie;brzeziński;4;1.3;0;0;0;2;138;28;4;22;2;t1021;2020-12-19
