wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;Ca³y kraj;14151;3.69;553;144;409;19348;4044;165668;61758;15217;45266;1275;t0000
dolnoœl¹skie;boles³awiecki;38;4.22;4;0;4;60;10;479;166;39;123;4;t0201
dolnoœl¹skie;dzier¿oniowski;1;0.10;1;0;1;24;1;208;45;1;42;2;t0202
dolnoœl¹skie;g³ogowski;20;2.25;0;0;0;40;5;297;92;21;70;1;t0203
dolnoœl¹skie;górowski;14;4.03;0;0;0;23;1;123;48;14;34;0;t0204
dolnoœl¹skie;jaworski;12;2.40;0;0;0;14;0;154;49;15;32;2;t0205
dolnoœl¹skie;jeleniogórski;7;1.10;1;0;1;19;4;180;100;9;90;1;t0206
dolnoœl¹skie;kamiennogórski;2;0.46;0;0;0;6;0;66;48;3;45;0;t0207
dolnoœl¹skie;k³odzki;10;0.64;3;0;3;37;4;352;80;12;66;2;t0208
dolnoœl¹skie;legnicki;16;2.90;0;0;0;10;3;145;58;17;40;1;t0209
dolnoœl¹skie;lubañski;12;2.22;0;0;0;20;2;245;66;16;45;5;t0210
dolnoœl¹skie;lubiñski;13;1.23;4;0;4;31;7;268;113;16;95;2;t0211
dolnoœl¹skie;lwówecki;13;2.84;1;1;0;20;4;121;111;13;95;3;t0212
dolnoœl¹skie;milicki;10;2.71;0;0;0;12;0;159;45;10;35;0;t0213
dolnoœl¹skie;oleœnicki;18;1.68;0;0;0;35;5;375;129;19;107;3;t0214
dolnoœl¹skie;o³awski;18;2.34;7;4;3;26;6;355;101;20;78;3;t0215
dolnoœl¹skie;polkowicki;19;3.01;0;0;0;20;2;159;64;19;45;0;t0216
dolnoœl¹skie;strzeliñski;3;0.69;2;0;2;18;5;144;32;3;29;0;t0217
dolnoœl¹skie;œredzki;27;4.88;1;0;1;23;3;205;73;27;43;3;t0218
dolnoœl¹skie;œwidnicki;23;1.47;4;0;4;36;4;659;171;25;141;5;t0219
dolnoœl¹skie;trzebnicki;14;1.64;0;0;0;32;5;326;78;16;61;1;t0220
dolnoœl¹skie;wa³brzyski;9;1.62;0;0;0;20;5;171;65;10;54;1;t0221
dolnoœl¹skie;wo³owski;6;1.28;0;0;0;32;5;222;41;7;31;3;t0222
dolnoœl¹skie;wroc³awski;37;2.40;1;1;0;68;12;738;175;38;134;3;t0223
dolnoœl¹skie;z¹bkowicki;27;4.19;3;1;2;18;5;226;170;28;142;0;t0224
