wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;382;0.10;84;22;62;3620;613;57127;53235;518;52535;182;t0000;2021-06-09
dolnoœl¹skie;boles³awiecki;6;0.67;3;1;2;16;4;172;121;7;113;1;t0201;2021-06-09
dolnoœl¹skie;dzier¿oniowski;1;0.10;0;0;0;11;4;79;72;3;69;0;t0202;2021-06-09
dolnoœl¹skie;g³ogowski;2;0.23;0;0;0;5;1;96;119;2;117;0;t0203;2021-06-09
dolnoœl¹skie;górowski;0;0;0;0;0;2;1;48;18;0;18;0;t0204;2021-06-09
dolnoœl¹skie;jaworski;2;0.40;0;0;0;4;2;54;49;2;47;0;t0205;2021-06-09
dolnoœl¹skie;jeleniogórski;0;0;1;0;1;1;0;56;54;0;54;0;t0206;2021-06-09
dolnoœl¹skie;kamiennogórski;2;0.46;0;0;0;2;0;43;23;2;21;0;t0207;2021-06-09
dolnoœl¹skie;k³odzki;1;0.06;0;0;0;18;2;119;121;1;120;0;t0208;2021-06-09
dolnoœl¹skie;legnicki;1;0.18;0;0;0;4;1;78;40;1;39;0;t0209;2021-06-09
dolnoœl¹skie;lubañski;0;0;0;0;0;5;1;73;29;0;29;0;t0210;2021-06-09
dolnoœl¹skie;lubiñski;0;0;0;0;0;4;1;41;81;1;80;0;t0211;2021-06-09
dolnoœl¹skie;lwówecki;1;0.22;0;0;0;7;0;45;44;2;42;0;t0212;2021-06-09
dolnoœl¹skie;milicki;0;0;0;0;0;1;1;30;38;0;38;0;t0213;2021-06-09
dolnoœl¹skie;oleœnicki;5;0.47;0;0;0;7;4;151;105;5;100;0;t0214;2021-06-09
dolnoœl¹skie;o³awski;0;0;0;0;0;5;0;114;115;0;115;0;t0215;2021-06-09
dolnoœl¹skie;polkowicki;0;0;0;0;0;2;3;43;73;0;73;0;t0216;2021-06-09
dolnoœl¹skie;strzeliñski;0;0;0;0;0;3;1;23;27;0;26;1;t0217;2021-06-09
dolnoœl¹skie;œredzki;0;0;0;0;0;5;1;74;42;0;42;0;t0218;2021-06-09
dolnoœl¹skie;œwidnicki;1;0.06;0;0;0;9;3;168;120;1;118;1;t0219;2021-06-09
dolnoœl¹skie;trzebnicki;0;0;0;0;0;6;2;235;89;1;88;0;t0220;2021-06-09
dolnoœl¹skie;wa³brzyski;0;0;0;0;0;4;1;26;48;0;48;0;t0221;2021-06-09
dolnoœl¹skie;wo³owski;1;0.21;0;0;0;7;3;80;53;1;52;0;t0222;2021-06-09
dolnoœl¹skie;wroc³awski;0;0;0;0;0;16;2;264;221;0;220;1;t0223;2021-06-09
dolnoœl¹skie;z¹bkowicki;1;0.16;0;0;0;8;1;47;66;3;63;0;t0224;2021-06-09
dolnoœl¹skie;zgorzelecki;2;0.23;1;1;0;8;1;115;54;2;52;0;t0225;2021-06-09
dolnoœl¹skie;z³otoryjski;0;0;0;0;0;3;2;45;27;1;26;0;t0226;2021-06-09
dolnoœl¹skie;Jelenia Góra;0;0;1;0;1;8;1;67;78;0;78;0;t0261;2021-06-09
