"","wojewodztwo","liczba_przypadkow","liczba_na_10_tys_mieszkancow","zgony","zgony_w_wyniku_covid_bez_chorob_wspolistniejacych","zgony_w_wyniku_covid_i_chorob_wspolistniejacych","liczba_zlecen_poz","liczba_ozdrowiencow","liczba_osob_objetych_kwarantanna","liczba_wykonanych_testow","liczba_testow_z_wynikiem_pozytywnym","liczba_testow_z_wynikiem_negatywnym","liczba_pozostalych_testow","teryt","stan_rekordu_na"
"1","Cały kraj",19074,4.97,274,75,199,27258,5219,402311,85369,20511,63997,861,"t00",2021-11-10
"2","dolnośląskie",1071,3.69,8,4,4,1674,345,22733,5061,1156,3847,58,"t02",2021-11-10
"3","kujawsko-pomorskie",934,4.51,10,1,9,1304,177,17015,4214,1000,3168,46,"t04",2021-11-10
"4","lubelskie",2123,10.09,54,9,45,2444,687,31659,6933,2264,4614,55,"t06",2021-11-10
"5","lubuskie",415,4.11,1,0,1,613,82,9645,2122,445,1653,24,"t08",2021-11-10
"6","łódzkie",1264,5.16,23,18,5,1831,383,26119,7082,1400,5627,55,"t10",2021-11-10
"7","małopolskie",1008,2.95,24,13,11,1774,267,23321,4921,1082,3807,32,"t12",2021-11-10
"8","mazowieckie",4027,7.42,48,15,33,4969,1287,93888,15720,4355,11122,243,"t14",2021-11-10
"9","opolskie",455,4.64,9,1,8,582,74,7758,1878,497,1371,10,"t16",2021-11-10
"10","podkarpackie",884,4.16,15,1,14,1168,221,16987,4170,953,3199,18,"t18",2021-11-10
"11","podlaskie",908,7.72,31,2,29,1212,352,19996,3034,976,2019,39,"t20",2021-11-10
"12","pomorskie",1026,4.37,4,0,4,1538,277,28125,4583,1081,3453,49,"t22",2021-11-10
"13","śląskie",1307,2.9,15,4,11,2635,294,30260,7391,1408,5927,56,"t24",2021-11-10
"14","świętokrzyskie",365,2.97,5,1,4,621,87,6938,1988,396,1568,24,"t26",2021-11-10
"15","warmińsko-mazurskie",832,5.86,5,2,3,1111,160,17194,3379,874,2473,32,"t28",2021-11-10
"16","wielkopolskie",1301,3.72,12,4,8,2127,211,30313,6012,1358,4594,60,"t30",2021-11-10
"17","zachodniopomorskie",980,5.79,10,0,10,1620,273,20285,4142,1068,3020,54,"t32",2021-11-10
