wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;4;0;0;0;t00
dolnoœl¹skie;boles³awiecki;76492;148;34011;17;t0201
dolnoœl¹skie;dzier¿oniowski;72726;159;33435;8;t0202
dolnoœl¹skie;g³ogowski;68613;146;30762;47;t0203
dolnoœl¹skie;górowski;27582;33;12410;0;t0204
dolnoœl¹skie;jaworski;40805;62;18172;16;t0205
dolnoœl¹skie;jeleniogórski;53514;14;24354;1;t0206
dolnoœl¹skie;kamiennogórski;33591;44;15508;15;t0207
dolnoœl¹skie;k³odzki;135106;266;62051;27;t0208
dolnoœl¹skie;legnicki;45627;6;20085;3;t0209
dolnoœl¹skie;lubañski;31540;75;13085;24;t0210
dolnoœl¹skie;lubiñski;130173;188;61162;26;t0211
dolnoœl¹skie;lwówecki;44038;42;20132;3;t0212
dolnoœl¹skie;milicki;36063;89;16774;24;t0213
dolnoœl¹skie;oleœnicki;104361;23;47137;2;t0214
dolnoœl¹skie;o³awski;46853;12;21757;0;t0215
dolnoœl¹skie;polkowicki;43268;53;18805;7;t0216
dolnoœl¹skie;strzeliñski;39041;82;17931;11;t0217
dolnoœl¹skie;œredzki;23186;21;10800;2;t0218
dolnoœl¹skie;œwidnicki;108266;142;48858;30;t0219
dolnoœl¹skie;trzebnicki;62561;54;29680;0;t0220
dolnoœl¹skie;wa³brzyski;33013;48;15454;8;t0221
dolnoœl¹skie;wo³owski;44252;56;19466;2;t0222
dolnoœl¹skie;wroc³awski;107611;97;50579;28;t0223
dolnoœl¹skie;z¹bkowicki;58763;97;26785;20;t0224
dolnoœl¹skie;zgorzelecki;63079;143;28072;37;t0225
dolnoœl¹skie;z³otoryjski;36411;5;16234;2;t0226
dolnoœl¹skie;Jelenia Góra;94820;84;44646;14;t0261
dolnoœl¹skie;Legnica;95007;52;43756;9;t0262
dolnoœl¹skie;Wroc³aw;1100809;1230;505446;167;t0264
dolnoœl¹skie;Wa³brzych;219556;165;100461;27;t0265
kujawsko-pomorskie;aleksandrowski;136387;178;64042;24;t0401
kujawsko-pomorskie;brodnicki;76182;110;35302;13;t0402
kujawsko-pomorskie;bydgoski;80373;60;37648;13;t0403
kujawsko-pomorskie;che³miñski;44120;72;20314;12;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;37579;20;17318;11;t0405
kujawsko-pomorskie;grudzi¹dzki;27673;64;12482;21;t0406
kujawsko-pomorskie;inowroc³awski;109271;81;51074;15;t0407
kujawsko-pomorskie;lipnowski;56141;47;25581;7;t0408
kujawsko-pomorskie;mogileñski;35005;114;16155;25;t0409
kujawsko-pomorskie;nakielski;88927;35;39244;10;t0410
kujawsko-pomorskie;radziejowski;46169;72;21479;23;t0411
kujawsko-pomorskie;rypiñski;37739;0;17548;0;t0412
kujawsko-pomorskie;sêpoleñski;50823;96;22980;11;t0413
kujawsko-pomorskie;œwiecki;82615;69;37488;1;t0414
kujawsko-pomorskie;toruñski;74860;56;32630;7;t0415
kujawsko-pomorskie;tucholski;41087;5;18662;0;t0416
kujawsko-pomorskie;w¹brzeski;29820;58;13375;10;t0417
kujawsko-pomorskie;w³oc³awski;67959;43;32097;3;t0418
kujawsko-pomorskie;¿niñski;54946;23;25845;1;t0419
kujawsko-pomorskie;Bydgoszcz;456153;634;208648;72;t0461
kujawsko-pomorskie;Grudzi¹dz;129315;62;59064;24;t0462
