"","wojewodztwo","powiat_miasto","liczba_szczepien_ogolnie","liczba_szczepien_dziennie","dawka_2_ogolem","dawka_2_dziennie","teryt"
"1","woj_puste","pow_puste",4,0,0,0,"t00"
"2","dolnoœl¹skie","boles³awiecki",78761,76,34407,13,"t0201"
"3","dolnoœl¹skie","dzier¿oniowski",74790,69,33826,5,"t0202"
"4","dolnoœl¹skie","g³ogowski",70934,51,31115,5,"t0203"
"5","dolnoœl¹skie","górowski",28249,12,12541,4,"t0204"
"6","dolnoœl¹skie","jaworski",41885,16,18321,0,"t0205"
"7","dolnoœl¹skie","jeleniogórski",55114,93,24529,5,"t0206"
"8","dolnoœl¹skie","kamiennogórski",34789,104,15711,23,"t0207"
"9","dolnoœl¹skie","k³odzki",139966,140,62608,3,"t0208"
"10","dolnoœl¹skie","legnicki",46731,17,20231,2,"t0209"
"11","dolnoœl¹skie","lubañski",32778,68,13296,0,"t0210"
"12","dolnoœl¹skie","lubiñski",133508,196,61569,6,"t0211"
"13","dolnoœl¹skie","lwówecki",45131,12,20281,0,"t0212"
"14","dolnoœl¹skie","milicki",37031,102,16918,3,"t0213"
"15","dolnoœl¹skie","oleœnicki",108461,200,47880,7,"t0214"
"16","dolnoœl¹skie","o³awski",48010,102,21834,1,"t0215"
"17","dolnoœl¹skie","polkowicki",44190,0,19002,0,"t0216"
"18","dolnoœl¹skie","strzeliñski",40036,9,18091,0,"t0217"
"19","dolnoœl¹skie","œredzki",24185,19,10959,1,"t0218"
"20","dolnoœl¹skie","œwidnicki",112337,101,49420,3,"t0219"
"21","dolnoœl¹skie","trzebnicki",64143,19,29998,4,"t0220"
"22","dolnoœl¹skie","wa³brzyski",34464,81,15760,2,"t0221"
"23","dolnoœl¹skie","wo³owski",45513,30,19654,1,"t0222"
"24","dolnoœl¹skie","wroc³awski",110580,142,50973,11,"t0223"
"25","dolnoœl¹skie","z¹bkowicki",60693,139,27033,8,"t0224"
"26","dolnoœl¹skie","zgorzelecki",64941,19,28341,3,"t0225"
"27","dolnoœl¹skie","z³otoryjski",37463,56,16367,3,"t0226"
"28","dolnoœl¹skie","Jelenia Góra",97890,191,45054,21,"t0261"
"29","dolnoœl¹skie","Legnica",98019,292,44186,8,"t0262"
"30","dolnoœl¹skie","Wroc³aw",1132544,1706,509347,179,"t0264"
"31","dolnoœl¹skie","Wa³brzych",224819,467,101115,33,"t0265"
"32","kujawsko-pomorskie","aleksandrowski",138462,74,64294,5,"t0401"
"33","kujawsko-pomorskie","brodnicki",78243,119,35684,24,"t0402"
"34","kujawsko-pomorskie","bydgoski",82344,45,38059,2,"t0403"
"35","kujawsko-pomorskie","che³miñski",45215,43,20504,1,"t0404"
"36","kujawsko-pomorskie","golubsko-dobrzyñski",38414,22,17462,3,"t0405"
"37","kujawsko-pomorskie","grudzi¹dzki",28220,7,12611,0,"t0406"
"38","kujawsko-pomorskie","inowroc³awski",112475,185,51572,14,"t0407"
"39","kujawsko-pomorskie","lipnowski",57537,8,25926,1,"t0408"
"40","kujawsko-pomorskie","mogileñski",36030,84,16355,5,"t0409"
"41","kujawsko-pomorskie","nakielski",91285,63,39720,4,"t0410"
"42","kujawsko-pomorskie","radziejowski",46991,0,21618,0,"t0411"
"43","kujawsko-pomorskie","rypiñski",38832,110,17765,8,"t0412"
"44","kujawsko-pomorskie","sêpoleñski",52362,58,23150,18,"t0413"
"45","kujawsko-pomorskie","œwiecki",85046,93,37926,5,"t0414"
"46","kujawsko-pomorskie","toruñski",76393,68,32909,13,"t0415"
"47","kujawsko-pomorskie","tucholski",41987,25,18892,9,"t0416"
"48","kujawsko-pomorskie","w¹brzeski",30614,10,13509,0,"t0417"
"49","kujawsko-pomorskie","w³oc³awski",69499,21,32408,1,"t0418"
"50","kujawsko-pomorskie","¿niñski",56174,147,26124,6,"t0419"
"51","kujawsko-pomorskie","Bydgoszcz",470972,606,210369,66,"t0461"
"52","kujawsko-pomorskie","Grudzi¹dz",132426,255,59593,32,"t0462"
"53","kujawsko-pomorskie","Toruñ",215299,694,94189,49,"t0463"
"54","kujawsko-pomorskie","W³oc³awek",103606,374,44790,20,"t0464"
"55","lubelskie","bialski",66964,34,29487,2,"t0601"
"56","lubelskie","bi³gorajski",59332,19,27073,0,"t0602"
"57","lubelskie","che³mski",39270,24,17849,2,"t0603"
"58","lubelskie","hrubieszowski",49347,113,21806,9,"t0604"
"59","lubelskie","janowski",34203,46,15437,10,"t0605"
"60","lubelskie","krasnostawski",45093,88,19983,13,"t0606"
"61","lubelskie","kraœnicki",73200,61,33172,8,"t0607"
"62","lubelskie","lubartowski",61034,118,27552,13,"t0608"
"63","lubelskie","lubelski",93025,210,40800,26,"t0609"
"64","lubelskie","³êczyñski",43409,9,20050,1,"t0610"
"65","lubelskie","³ukowski",62251,97,28131,10,"t0611"
"66","lubelskie","opolski",49813,4,22164,0,"t0612"
"67","lubelskie","parczewski",31057,16,13633,3,"t0613"
"68","lubelskie","pu³awski",107187,129,49013,14,"t0614"
"69","lubelskie","radzyñski",33826,73,15336,6,"t0615"
"70","lubelskie","rycki",57571,26,26839,0,"t0616"
"71","lubelskie","œwidnicki",51882,209,23434,15,"t0617"
"72","lubelskie","tomaszowski",60703,32,27248,6,"t0618"
"73","lubelskie","w³odawski",37778,37,16907,10,"t0619"
"74","lubelskie","zamojski",52855,64,24824,1,"t0620"
"75","lubelskie","Bia³a Podlaska",77663,253,34934,39,"t0661"
"76","lubelskie","Che³m",69544,175,30416,8,"t0662"
"77","lubelskie","Lublin",494482,991,213298,93,"t0663"
"78","lubelskie","Zamoœæ",97854,224,44254,22,"t0664"
"79","lubuskie","gorzowski",32336,6,14472,0,"t0801"
"80","lubuskie","kroœnieñski",54506,41,24969,3,"t0802"
"81","lubuskie","miêdzyrzecki",72000,94,32474,7,"t0803"
"82","lubuskie","nowosolski",100002,120,43033,12,"t0804"
"83","lubuskie","s³ubicki",42045,127,19325,6,"t0805"
"84","lubuskie","strzelecko-drezdenecki",55308,29,23682,1,"t0806"
"85","lubuskie","sulêciñski",34492,73,14882,8,"t0807"
"86","lubuskie","œwiebodziñski",59064,2,26401,0,"t0808"
"87","lubuskie","zielonogórski",94794,129,42821,15,"t0809"
"88","lubuskie","¿agañski",74608,136,32584,1,"t0810"
"89","lubuskie","¿arski",107407,173,48819,9,"t0811"
"90","lubuskie","wschowski",29738,51,13857,3,"t0812"
"91","lubuskie","Gorzów Wielkopolski",169407,392,73478,30,"t0861"
"92","lubuskie","Zielona Góra",165298,233,74943,13,"t0862"
"93","³ódzkie","be³chatowski",79734,24,35462,0,"t1001"
"94","³ódzkie","kutnowski",95545,149,44968,6,"t1002"
"95","³ódzkie","³aski",38821,24,18031,0,"t1003"
"96","³ódzkie","³êczycki",55616,60,24905,0,"t1004"
"97","³ódzkie","³owicki",95819,147,44647,23,"t1005"
"98","³ódzkie","³ódzki wschodni",40743,47,17809,10,"t1006"
"99","³ódzkie","opoczyñski",64041,34,28351,2,"t1007"
"100","³ódzkie","pabianicki",117524,163,53640,9,"t1008"
"101","³ódzkie","pajêczañski",31287,34,14064,3,"t1009"
"102","³ódzkie","piotrkowski",53487,16,24427,0,"t1010"
"103","³ódzkie","poddêbicki",39755,30,18404,5,"t1011"
"104","³ódzkie","radomszczañski",95564,60,43733,1,"t1012"
"105","³ódzkie","rawski",31383,18,14076,10,"t1013"
"106","³ódzkie","sieradzki",107281,117,47888,7,"t1014"
"107","³ódzkie","skierniewicki",25350,0,11778,0,"t1015"
"108","³ódzkie","tomaszowski",113290,153,52098,16,"t1016"
"109","³ódzkie","wieluñski",92771,0,43063,0,"t1017"
"110","³ódzkie","wieruszowski",35448,40,15643,2,"t1018"
"111","³ódzkie","zduñskowolski",53843,0,24372,0,"t1019"
"112","³ódzkie","zgierski",141116,329,64015,39,"t1020"
"113","³ódzkie","brzeziñski",36986,40,17175,0,"t1021"
"114","³ódzkie","£ódŸ",980243,1423,442379,150,"t1061"
"115","³ódzkie","Piotrków Trybunalski",90030,135,40196,8,"t1062"
"116","³ódzkie","Skierniewice",78303,91,35573,12,"t1063"
"117","ma³opolskie","bocheñski",83652,48,36715,3,"t1201"
"118","ma³opolskie","brzeski",71617,75,32436,0,"t1202"
"119","ma³opolskie","chrzanowski",118520,178,52827,11,"t1203"
"120","ma³opolskie","d¹browski",45192,36,20769,6,"t1204"
"121","ma³opolskie","gorlicki",91743,109,42036,5,"t1205"
"122","ma³opolskie","krakowski",171444,129,78051,4,"t1206"
"123","ma³opolskie","limanowski",94695,54,42450,1,"t1207"
"124","ma³opolskie","miechowski",64164,100,30054,17,"t1208"
"125","ma³opolskie","myœlenicki",110583,132,50798,18,"t1209"
"126","ma³opolskie","nowos¹decki",138109,81,60701,2,"t1210"
"127","ma³opolskie","nowotarski",139165,17,61828,2,"t1211"
"128","ma³opolskie","olkuski",115398,55,52578,6,"t1212"
"129","ma³opolskie","oœwiêcimski",129242,116,59474,10,"t1213"
"130","ma³opolskie","proszowicki",46452,6,21757,0,"t1214"
"131","ma³opolskie","suski",73731,98,34067,3,"t1215"
"132","ma³opolskie","tarnowski",101114,74,46061,5,"t1216"
"133","ma³opolskie","tatrzañski",38303,47,17394,4,"t1217"
"134","ma³opolskie","wadowicki",128049,140,56373,17,"t1218"
"135","ma³opolskie","wielicki",118318,173,52488,16,"t1219"
"136","ma³opolskie","Kraków",1267840,2635,578901,253,"t1261"
"137","ma³opolskie","Nowy S¹cz",69007,75,31549,13,"t1262"
"138","ma³opolskie","Tarnów",124154,129,54494,5,"t1263"
"139","mazowieckie","bia³obrzeski",38059,0,17711,0,"t1401"
"140","mazowieckie","ciechanowski",85801,102,39398,5,"t1402"
"141","mazowieckie","garwoliñski",88529,102,41376,11,"t1403"
"142","mazowieckie","gostyniñski",30584,0,14308,0,"t1404"
"143","mazowieckie","grodziski",102128,102,45786,4,"t1405"
"144","mazowieckie","grójecki",112371,55,51520,9,"t1406"
"145","mazowieckie","kozienicki",47510,39,21971,3,"t1407"
"146","mazowieckie","legionowski",84189,121,35427,9,"t1408"
"147","mazowieckie","lipski",28323,42,13087,2,"t1409"
"148","mazowieckie","³osicki",20149,29,9394,2,"t1410"
"149","mazowieckie","makowski",45134,18,20086,2,"t1411"
"150","mazowieckie","miñski",138331,131,60756,9,"t1412"
"151","mazowieckie","m³awski",65929,128,30464,14,"t1413"
"152","mazowieckie","nowodworski",121969,138,54721,9,"t1414"
"153","mazowieckie","ostro³êcki",52952,23,24313,1,"t1415"
"154","mazowieckie","ostrowski",54048,96,25906,15,"t1416"
"155","mazowieckie","otwocki",100347,164,46356,22,"t1417"
"156","mazowieckie","piaseczyñski",263529,448,118383,36,"t1418"
"157","mazowieckie","p³ocki",91746,8,42522,0,"t1419"
"158","mazowieckie","p³oñski",85118,66,38637,3,"t1420"
"159","mazowieckie","pruszkowski",146996,130,66883,23,"t1421"
