wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;4;0;0;0;t0
dolnoœl¹skie;3069641;206;1406569;32;t02
kujawsko-pomorskie;2064501;121;945255;20;t04
lubelskie;1774550;184;811746;34;t06
lubuskie;1054036;76;480325;7;t08
³ódzkie;2514528;353;1164850;84;t10
ma³opolskie;3245876;302;1498375;99;t12
mazowieckie;6002651;744;2768859;170;t14
opolskie;898021;315;416892;15;t16
podkarpackie;1643263;30;755372;7;t18
podlaskie;1093677;60;505095;6;t20
pomorskie;2522953;191;1162128;31;t22
œl¹skie;4549950;445;2096749;124;t24
œwiêtokrzyskie;1102122;161;506656;64;t26
warmiñsko-mazurskie;1319632;142;605152;61;t28
wielkopolskie;3658849;411;1701625;94;t30
zachodniopomorskie;1772236;327;807268;40;t32
ca³y kraj;38286490;4068;17632916;888;t00
