"Date","wojewodztwo","calkowite","ogolem","stan_rekordu_na"
2020-12-28,"cały kraj",0,0,2020-12-27
2020-12-28,"dolnośląskie",0,NA,2020-12-27
2020-12-28,"kujawsko.pomorskie",0,NA,2020-12-27
2020-12-28,"łódzkie",0,NA,2020-12-27
2020-12-28,"lubelskie",0,NA,2020-12-27
2020-12-28,"lubuskie",0,NA,2020-12-27
2020-12-28,"małopolskie",0,NA,2020-12-27
2020-12-28,"mazowieckie",0,NA,2020-12-27
2020-12-28,"opolskie",0,NA,2020-12-27
2020-12-28,"podkarpackie",0,NA,2020-12-27
2020-12-28,"podlaskie",0,NA,2020-12-27
2020-12-28,"pomorskie",0,NA,2020-12-27
2020-12-28,"śląskie",0,NA,2020-12-27
2020-12-28,"świętokrzyskie",0,NA,2020-12-27
2020-12-28,"warmińsko.mazurskie",0,NA,2020-12-27
2020-12-28,"wielkopolskie",0,NA,2020-12-27
2020-12-28,"zachodniopomorskie",0,NA,2020-12-27
2020-12-29,"cały kraj",0,0,2020-12-28
2020-12-29,"dolnośląskie",0,NA,2020-12-28
2020-12-29,"kujawsko.pomorskie",0,NA,2020-12-28
2020-12-29,"łódzkie",0,NA,2020-12-28
2020-12-29,"lubelskie",0,NA,2020-12-28
2020-12-29,"lubuskie",0,NA,2020-12-28
2020-12-29,"małopolskie",0,NA,2020-12-28
2020-12-29,"mazowieckie",0,NA,2020-12-28
2020-12-29,"opolskie",0,NA,2020-12-28
2020-12-29,"podkarpackie",0,NA,2020-12-28
2020-12-29,"podlaskie",0,NA,2020-12-28
2020-12-29,"pomorskie",0,NA,2020-12-28
2020-12-29,"śląskie",0,NA,2020-12-28
2020-12-29,"świętokrzyskie",0,NA,2020-12-28
2020-12-29,"warmińsko.mazurskie",0,NA,2020-12-28
2020-12-29,"wielkopolskie",0,NA,2020-12-28
2020-12-29,"zachodniopomorskie",0,NA,2020-12-28
2020-12-30,"cały kraj",0,0,2020-12-29
2020-12-30,"dolnośląskie",0,NA,2020-12-29
2020-12-30,"kujawsko.pomorskie",0,NA,2020-12-29
2020-12-30,"łódzkie",0,NA,2020-12-29
2020-12-30,"lubelskie",0,NA,2020-12-29
2020-12-30,"lubuskie",0,NA,2020-12-29
2020-12-30,"małopolskie",0,NA,2020-12-29
2020-12-30,"mazowieckie",0,NA,2020-12-29
2020-12-30,"opolskie",0,NA,2020-12-29
2020-12-30,"podkarpackie",0,NA,2020-12-29
2020-12-30,"podlaskie",0,NA,2020-12-29
2020-12-30,"pomorskie",0,NA,2020-12-29
2020-12-30,"śląskie",0,NA,2020-12-29
2020-12-30,"świętokrzyskie",0,NA,2020-12-29
