"Date","liczba_przypadkow","stan_rekordu_na","zgony","wojewodztwo"
2020-03-05,NA,2020-03-04,NA,"dolnośląskie"
2020-03-05,NA,2020-03-04,NA,"kujawsko-pomorskie"
2020-03-05,NA,2020-03-04,NA,"lubelskie"
2020-03-05,NA,2020-03-04,NA,"lubuskie"
2020-03-05,NA,2020-03-04,NA,"łódzkie"
2020-03-05,NA,2020-03-04,NA,"małopolskie"
2020-03-05,NA,2020-03-04,NA,"mazowieckie"
2020-03-05,NA,2020-03-04,NA,"opolskie"
2020-03-05,NA,2020-03-04,NA,"podkarpackie"
2020-03-05,NA,2020-03-04,NA,"podlaskie"
2020-03-05,NA,2020-03-04,NA,"pomorskie"
2020-03-05,NA,2020-03-04,NA,"śląskie"
2020-03-05,NA,2020-03-04,NA,"świętokrzyskie"
2020-03-05,NA,2020-03-04,NA,"warmińsko-mazurskie"
2020-03-05,NA,2020-03-04,NA,"wielkopolskie"
2020-03-05,NA,2020-03-04,NA,"zachodniopomorskie"
2020-03-05,NA,2020-03-04,NA,"Cały kraj"
2020-03-06,0,2020-03-05,0,"dolnośląskie"
2020-03-06,0,2020-03-05,0,"kujawsko-pomorskie"
2020-03-06,0,2020-03-05,0,"lubelskie"
2020-03-06,0,2020-03-05,0,"lubuskie"
2020-03-06,0,2020-03-05,0,"łódzkie"
2020-03-06,0,2020-03-05,0,"małopolskie"
2020-03-06,0,2020-03-05,0,"mazowieckie"
2020-03-06,0,2020-03-05,0,"opolskie"
2020-03-06,0,2020-03-05,0,"podkarpackie"
2020-03-06,0,2020-03-05,0,"podlaskie"
2020-03-06,0,2020-03-05,0,"pomorskie"
2020-03-06,0,2020-03-05,NA,"śląskie"
2020-03-06,0,2020-03-05,0,"świętokrzyskie"
2020-03-06,0,2020-03-05,0,"warmińsko-mazurskie"
2020-03-06,0,2020-03-05,0,"wielkopolskie"
2020-03-06,0,2020-03-05,0,"zachodniopomorskie"
2020-03-06,0,2020-03-05,0,"Cały kraj"
2020-03-07,1,2020-03-06,0,"dolnośląskie"
2020-03-07,0,2020-03-06,0,"kujawsko-pomorskie"
