wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;Cały kraj;6908;1.8;349;77;272;27615;193924;46647;8974;36805;868;t0000;2020-12-14
dolnośląskie;bolesławiecki;29;3.22;2;0;2;97;468;128;32;88;8;t0201;2020-12-14
dolnośląskie;dzierżoniowski;8;0.8;1;0;1;42;267;66;9;57;0;t0202;2020-12-14
dolnośląskie;głogowski;17;1.91;0;0;0;53;410;110;20;89;1;t0203;2020-12-14
dolnośląskie;górowski;5;1.44;0;0;0;18;156;18;6;12;0;t0204;2020-12-14
dolnośląskie;jaworski;9;1.8;1;1;0;34;166;38;9;28;1;t0205;2020-12-14
dolnośląskie;jeleniogórski;10;1.58;0;0;0;28;273;71;11;59;1;t0206;2020-12-14
dolnośląskie;kamiennogórski;5;1.16;1;0;1;17;170;75;6;69;0;t0207;2020-12-14
dolnośląskie;kłodzki;21;1.34;5;0;5;60;439;140;23;116;1;t0208;2020-12-14
dolnośląskie;legnicki;13;2.35;0;0;0;30;225;52;14;35;3;t0209;2020-12-14
dolnośląskie;lubański;16;2.96;0;0;0;45;355;51;17;34;0;t0210;2020-12-14
dolnośląskie;lubiński;19;1.79;2;0;2;62;469;165;27;135;3;t0211;2020-12-14
dolnośląskie;lwówecki;10;2.18;0;0;0;28;203;42;13;29;0;t0212;2020-12-14
dolnośląskie;milicki;3;0.81;0;0;0;20;135;27;4;22;1;t0213;2020-12-14
dolnośląskie;oleśnicki;9;0.84;0;0;0;72;651;85;12;70;3;t0214;2020-12-14
dolnośląskie;oławski;6;0.78;0;0;0;63;540;94;9;84;1;t0215;2020-12-14
dolnośląskie;polkowicki;7;1.11;0;0;0;23;323;64;8;54;2;t0216;2020-12-14
dolnośląskie;strzeliński;6;1.38;1;0;1;21;213;38;6;32;0;t0217;2020-12-14
dolnośląskie;średzki;12;2.17;0;0;0;60;311;67;14;52;1;t0218;2020-12-14
dolnośląskie;świdnicki;18;1.15;2;0;2;82;899;150;23;126;1;t0219;2020-12-14
dolnośląskie;trzebnicki;14;1.64;1;0;1;49;446;79;17;60;2;t0220;2020-12-14
dolnośląskie;wałbrzyski;16;2.89;0;0;0;47;380;86;18;68;0;t0221;2020-12-14
dolnośląskie;wołowski;6;1.28;0;0;0;28;311;44;9;34;1;t0222;2020-12-14
dolnośląskie;wrocławski;35;2.27;0;0;0;118;868;180;41;134;5;t0223;2020-12-14
dolnośląskie;ząbkowicki;17;2.64;1;1;0;41;232;82;17;65;0;t0224;2020-12-14
dolnośląskie;zgorzelecki;26;2.93;0;0;0;64;519;54;26;27;1;t0225;2020-12-14
dolnośląskie;złotoryjski;6;1.39;0;0;0;11;385;37;10;26;1;t0226;2020-12-14
dolnośląskie;Jelenia Góra;11;1.4;2;1;1;57;329;88;16;72;0;t0261;2020-12-14
dolnośląskie;Legnica;20;2.02;3;1;2;60;485;87;22;64;1;t0262;2020-12-14
dolnośląskie;Wrocław;126;1.96;6;0;6;434;2831;1079;156;892;31;t0264;2020-12-14
dolnośląskie;Wałbrzych;31;2.8;2;0;2;75;437;251;40;209;2;t0265;2020-12-14
kujawsko-pomorskie;aleksandrowski;18;3.27;1;0;1;46;246;76;20;56;0;t0401;2020-12-14
kujawsko-pomorskie;brodnicki;9;1.14;0;0;0;68;510;70;12;55;3;t0402;2020-12-14
kujawsko-pomorskie;bydgoski;81;6.78;1;0;1;180;1159;233;88;140;5;t0403;2020-12-14
kujawsko-pomorskie;chełmiński;10;1.93;0;0;0;55;426;53;10;42;1;t0404;2020-12-14
kujawsko-pomorskie;golubsko-dobrzyński;9;2.0;1;0;1;32;241;46;10;35;1;t0405;2020-12-14
kujawsko-pomorskie;grudziądzki;14;3.48;0;0;0;43;425;77;22;53;2;t0406;2020-12-14
kujawsko-pomorskie;inowrocławski;21;1.32;0;0;0;178;1019;143;33;110;0;t0407;2020-12-14
kujawsko-pomorskie;lipnowski;21;3.2;2;1;1;39;400;84;24;58;2;t0408;2020-12-14
kujawsko-pomorskie;mogileński;6;1.32;0;0;0;33;244;24;6;18;0;t0409;2020-12-14
kujawsko-pomorskie;nakielski;50;5.8;0;0;0;124;790;160;53;104;3;t0410;2020-12-14
kujawsko-pomorskie;radziejowski;5;1.24;0;0;0;54;291;30;5;24;1;t0411;2020-12-14
kujawsko-pomorskie;rypiński;2;0.46;2;0;2;18;180;59;19;38;2;t0412;2020-12-14
kujawsko-pomorskie;sępoleński;22;5.38;0;0;0;34;273;73;26;45;2;t0413;2020-12-14
kujawsko-pomorskie;świecki;17;1.72;0;0;0;120;988;133;20;111;2;t0414;2020-12-14
kujawsko-pomorskie;toruński;37;3.4;1;0;1;144;1127;147;39;108;0;t0415;2020-12-14
kujawsko-pomorskie;tucholski;10;2.07;1;0;1;43;435;73;13;57;3;t0416;2020-12-14
kujawsko-pomorskie;wąbrzeski;28;8.21;1;0;1;22;243;57;30;27;0;t0417;2020-12-14
kujawsko-pomorskie;włocławski;20;2.33;1;1;0;76;662;98;28;69;1;t0418;2020-12-14
kujawsko-pomorskie;żniński;35;5.0;1;0;1;71;557;132;46;84;2;t0419;2020-12-14
