wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;Ca³y kraj;3678;0.96;56;5;51;319;10061;153848;17341;4292;12691;358;t0000
dolnoœl¹skie;boles³awiecki;6;0.67;;;;;28;317;18;8;10;0;t0201
dolnoœl¹skie;dzier¿oniowski;;;;;;;8;171;9;0;9;0;t0202
dolnoœl¹skie;g³ogowski;3;0.34;;;;;7;224;15;3;12;0;t0203
dolnoœl¹skie;górowski;;;;;;;7;85;6;0;6;0;t0204
dolnoœl¹skie;jaworski;1;0.20;;;;;16;115;9;1;7;1;t0205
dolnoœl¹skie;jeleniogórski;18;2.84;;;;;14;136;43;19;21;3;t0206
dolnoœl¹skie;kamiennogórski;7;1.63;;;;;8;112;26;7;18;1;t0207
dolnoœl¹skie;k³odzki;1;0.06;;;;;17;309;43;2;41;0;t0208
dolnoœl¹skie;legnicki;2;0.36;;;;;4;129;4;2;2;0;t0209
dolnoœl¹skie;lubañski;3;0.55;;;;;9;272;7;4;3;0;t0210
dolnoœl¹skie;lubiñski;3;0.28;;;;;46;288;23;3;20;0;t0211
dolnoœl¹skie;lwówecki;2;0.44;;;;1;9;141;7;2;5;0;t0212
dolnoœl¹skie;milicki;;;;;;;3;119;7;0;7;0;t0213
dolnoœl¹skie;oleœnicki;7;0.65;;;;;24;353;34;7;26;1;t0214
dolnoœl¹skie;o³awski;3;0.39;;;;;22;328;17;4;13;0;t0215
dolnoœl¹skie;polkowicki;2;0.32;;;;;9;128;11;2;9;0;t0216
dolnoœl¹skie;strzeliñski;4;0.92;;;;;14;128;8;5;3;0;t0217
dolnoœl¹skie;œredzki;10;1.81;;;;1;8;180;17;11;5;1;t0218
dolnoœl¹skie;œwidnicki;12;0.77;;;;1;34;725;30;15;15;0;t0219
dolnoœl¹skie;trzebnicki;2;0.23;;;;;17;276;12;2;10;0;t0220
dolnoœl¹skie;wa³brzyski;5;0.90;;;;;26;241;14;5;8;1;t0221
dolnoœl¹skie;wo³owski;4;0.86;;;;;7;205;10;4;6;0;t0222
dolnoœl¹skie;wroc³awski;5;0.32;;;;;35;799;31;5;25;1;t0223
dolnoœl¹skie;z¹bkowicki;3;0.47;;;;2;9;185;15;3;12;0;t0224
dolnoœl¹skie;zgorzelecki;;;;;;;22;372;6;0;6;0;t0225
dolnoœl¹skie;z³otoryjski;;;;;;;6;307;3;0;3;0;t0226
dolnoœl¹skie;Jelenia Góra;4;0.51;;;;;31;242;26;7;19;0;t0261
dolnoœl¹skie;Legnica;5;0.50;;;;;17;420;20;5;15;0;t0262
dolnoœl¹skie;Wroc³aw;35;0.54;;;;4;136;2229;185;38;141;6;t0264
dolnoœl¹skie;Wa³brzych;6;0.54;;;;;28;314;36;6;30;0;t0265
kujawsko-pomorskie;aleksandrowski;14;2.55;;;;3;9;200;30;15;14;1;t0401
kujawsko-pomorskie;brodnicki;8;1.01;;;;1;18;443;22;8;14;0;t0402
kujawsko-pomorskie;bydgoski;23;1.93;;;;5;66;1184;67;24;43;0;t0403
kujawsko-pomorskie;che³miñski;1;0.19;;;;1;23;390;80;25;54;1;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;3;0.67;;;;;11;173;13;4;9;0;t0405
kujawsko-pomorskie;grudzi¹dzki;6;1.49;;;;;32;379;15;6;8;1;t0406
kujawsko-pomorskie;inowroc³awski;16;1.00;1;;1;1;54;948;91;42;48;1;t0407
kujawsko-pomorskie;lipnowski;11;1.68;;;;7;12;288;34;11;22;1;t0408
kujawsko-pomorskie;mogileñski;1;0.22;;;;2;10;205;11;1;10;0;t0409
kujawsko-pomorskie;nakielski;7;0.81;;;;3;70;687;34;7;26;1;t0410
kujawsko-pomorskie;radziejowski;5;1.24;;;;;19;201;17;9;8;0;t0411
kujawsko-pomorskie;rypiñski;;;;;;;4;152;13;0;12;1;t0412
kujawsko-pomorskie;sêpoleñski;3;0.73;1;;1;;22;333;17;4;12;1;t0413
kujawsko-pomorskie;œwiecki;20;2.02;;;;5;40;782;70;22;45;3;t0414
kujawsko-pomorskie;toruñski;19;1.74;;;;1;78;953;85;25;57;3;t0415
kujawsko-pomorskie;tucholski;9;1.86;1;;1;5;31;407;48;9;37;2;t0416
kujawsko-pomorskie;w¹brzeski;2;0.59;;;;;13;186;14;4;10;0;t0417
kujawsko-pomorskie;w³oc³awski;5;0.58;;;;;24;415;19;6;12;1;t0418
kujawsko-pomorskie;¿niñski;14;2.00;1;;1;1;29;468;42;15;27;0;t0419
kujawsko-pomorskie;Bydgoszcz;94;2.71;;;;46;224;2605;305;105;183;17;t0461
kujawsko-pomorskie;Grudzi¹dz;20;2.13;;;;1;60;703;54;22;31;1;t0462
kujawsko-pomorskie;Toruñ;39;1.94;;;;5;103;1287;105;43;61;1;t0463
kujawsko-pomorskie;W³oc³awek;6;0.55;2;;2;;34;566;24;6;18;0;t0464
lubelskie;bialski;4;0.36;;;;4;17;325;15;6;9;0;t0601
lubelskie;bi³gorajski;;;;;;1;9;123;18;1;16;1;t0602
lubelskie;che³mski;5;0.64;;;;;16;318;18;6;12;0;t0603
lubelskie;hrubieszowski;1;0.16;;;;;19;250;20;2;18;0;t0604
lubelskie;janowski;1;0.22;;;;;4;67;6;1;5;0;t0605
lubelskie;krasnostawski;1;0.16;;;;;21;453;16;1;15;0;t0606
lubelskie;kraœnicki;4;0.42;4;1;3;;15;228;32;8;24;0;t0607
lubelskie;lubartowski;5;0.57;;;;;10;310;31;6;24;1;t0608
lubelskie;lubelski;8;0.51;1;;1;;43;605;51;12;36;3;t0609
lubelskie;³êczyñski;3;0.52;;;;1;12;307;16;5;11;0;t0610
lubelskie;³ukowski;1;0.09;;;;;3;150;24;1;23;0;t0611
lubelskie;opolski;5;0.85;;;;;12;247;15;5;10;0;t0612
lubelskie;parczewski;;;;;;;6;96;5;0;5;0;t0613
lubelskie;pu³awski;12;1.06;;;;;29;446;59;15;40;4;t0614
lubelskie;radzyñski;2;0.34;;;;;7;156;8;2;6;0;t0615
lubelskie;rycki;6;1.07;;;;;9;169;24;7;15;2;t0616
lubelskie;œwidnicki;5;0.70;;;;;41;524;23;6;17;0;t0617
lubelskie;tomaszowski;1;0.12;;;;;14;164;24;4;20;0;t0618
lubelskie;w³odawski;;;;;;1;6;152;7;1;5;1;t0619
lubelskie;zamojski;1;0.09;;;;;17;227;33;5;28;0;t0620
lubelskie;Bia³a Podlaska;2;0.35;;;;;9;165;12;2;9;1;t0661
lubelskie;Che³m;8;1.30;;;;1;20;365;25;8;16;1;t0662
lubelskie;Lublin;25;0.74;1;;1;;119;1301;113;32;79;2;t0663
lubelskie;Zamoœæ;3;0.47;;;;;19;173;16;4;12;0;t0664
lubuskie;gorzowski;3;0.42;;;;;26;348;10;3;7;0;t0801
lubuskie;kroœnieñski;3;0.55;;;;;29;500;16;7;8;1;t0802
lubuskie;miêdzyrzecki;2;0.35;;;;;34;321;22;2;19;1;t0803
lubuskie;nowosolski;8;0.93;;;;;6;310;25;10;14;1;t0804
lubuskie;s³ubicki;12;2.56;;;;2;30;392;41;15;25;1;t0805
lubuskie;strzelecko-drezdenecki;2;0.41;;;;;13;212;20;6;14;0;t0806
lubuskie;sulêciñski;3;0.85;;;;;8;334;37;6;31;0;t0807
lubuskie;œwiebodziñski;2;0.36;;;;;22;344;9;3;6;0;t0808
lubuskie;zielonogórski;2;0.26;;;;;29;466;18;3;14;1;t0809
lubuskie;¿agañski;6;0.76;;;;;10;233;17;6;10;1;t0810
lubuskie;¿arski;6;0.63;;;;;18;348;38;8;28;2;t0811
lubuskie;wschowski;;;;;;;4;155;8;0;8;0;t0812
lubuskie;Gorzów Wielkopolski;7;0.57;;;;1;37;513;36;8;28;0;t0861
lubuskie;Zielona Góra;9;0.64;;;;;47;770;48;9;37;2;t0862
³ódzkie;be³chatowski;3;0.27;;;;;12;302;33;3;30;0;t1001
³ódzkie;kutnowski;13;1.35;;;;;15;409;28;13;15;0;t1002
³ódzkie;³aski;2;0.40;;;;;10;186;14;3;11;0;t1003
³ódzkie;³êczycki;1;0.20;;;;;14;288;24;4;19;1;t1004
³ódzkie;³owicki;6;0.77;;;;;10;266;29;7;22;0;t1005
³ódzkie;³ódzki wschodni;9;1.24;;;;3;20;291;47;10;35;2;t1006
³ódzkie;opoczyñski;2;0.26;;;;;5;95;13;2;11;0;t1007
³ódzkie;pabianicki;11;0.92;;;;4;55;493;43;14;29;0;t1008
³ódzkie;pajêczañski;;;;;;1;4;121;6;1;5;0;t1009
³ódzkie;piotrkowski;5;0.55;;;;1;16;258;30;8;21;1;t1010
³ódzkie;poddêbicki;;;;;;;27;219;10;1;9;0;t1011
³ódzkie;radomszczañski;6;0.53;;;;;22;259;42;7;35;0;t1012
³ódzkie;rawski;6;1.24;;;;;1;270;28;6;22;0;t1013
³ódzkie;sieradzki;6;0.51;1;1;;;19;462;59;7;47;5;t1014
³ódzkie;skierniewicki;2;0.52;;;;;5;191;10;2;8;0;t1015
³ódzkie;tomaszowski;3;0.26;1;;1;1;32;418;51;6;44;1;t1016
³ódzkie;wieluñski;;;;;;1;19;183;16;0;15;1;t1017
