wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;Ca³y kraj;12054;3,14;186;38;148;t0000
dolnoœl¹skie;boles³awiecki;28;3,11;0;0;0;t0201
dolnoœl¹skie;dzier¿oniowski;18;1,79;0;0;0;t0202
dolnoœl¹skie;g³ogowski;19;2,14;0;0;0;t0203
dolnoœl¹skie;górowski;7;2,02;0;0;0;t0204
dolnoœl¹skie;jaworski;11;2,20;0;0;0;t0205
dolnoœl¹skie;jeleniogórski;13;2,05;0;0;0;t0206
dolnoœl¹skie;kamiennogórski;6;1,39;0;0;0;t0207
dolnoœl¹skie;k³odzki;38;2,42;0;0;0;t0208
dolnoœl¹skie;legnicki;7;1,27;0;0;0;t0209
dolnoœl¹skie;lubañski;23;4,25;0;0;0;t0210
dolnoœl¹skie;lubiñski;18;1,70;0;0;0;t0211
dolnoœl¹skie;lwówecki;3;0,66;0;0;0;t0212
dolnoœl¹skie;milicki;2;0,54;0;0;0;t0213
dolnoœl¹skie;oleœnicki;14;1,30;0;0;0;t0214
dolnoœl¹skie;o³awski;15;1,95;0;0;0;t0215
dolnoœl¹skie;polkowicki;13;2,06;0;0;0;t0216
dolnoœl¹skie;strzeliñski;0;0;0;0;0;t0217
dolnoœl¹skie;œredzki;12;2,17;0;0;0;t0218
dolnoœl¹skie;œwidnicki;29;1,85;0;0;0;t0219
dolnoœl¹skie;trzebnicki;21;2,46;0;0;0;t0220
dolnoœl¹skie;wa³brzyski;13;2,35;1;0;1;t0221
dolnoœl¹skie;wo³owski;21;4,49;0;0;0;t0222
dolnoœl¹skie;wroc³awski;43;2,79;0;0;0;t0223
dolnoœl¹skie;z¹bkowicki;21;3,26;0;0;0;t0224
dolnoœl¹skie;zgorzelecki;16;1,80;0;0;0;t0225
dolnoœl¹skie;z³otoryjski;14;3,24;0;0;0;t0226
