wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;4728;1.23;93;33;60;243;5711;138266;31353;5105;25782;466;t0000;2021-02-06
dolnoœl¹skie;boles³awiecki;7;0.78;0;0;0;0;16;330;74;10;63;1;t0201;2021-02-06
dolnoœl¹skie;dzier¿oniowski;0;0;0;0;0;0;5;119;35;0;34;1;t0202;2021-02-06
dolnoœl¹skie;g³ogowski;6;0.68;0;0;0;0;7;169;52;6;46;0;t0203;2021-02-06
dolnoœl¹skie;górowski;3;0.86;0;0;0;1;6;42;30;3;27;0;t0204;2021-02-06
dolnoœl¹skie;jaworski;3;0.60;0;0;0;0;1;88;43;3;40;0;t0205;2021-02-06
dolnoœl¹skie;jeleniogórski;8;1.26;0;0;0;0;14;135;52;9;40;3;t0206;2021-02-06
dolnoœl¹skie;kamiennogórski;1;0.23;0;0;0;0;3;105;23;3;20;0;t0207;2021-02-06
dolnoœl¹skie;k³odzki;12;0.76;0;0;0;0;27;486;164;13;151;0;t0208;2021-02-06
dolnoœl¹skie;legnicki;5;0.91;0;0;0;0;5;135;30;5;23;2;t0209;2021-02-06
dolnoœl¹skie;lubañski;8;1.48;0;0;0;0;3;151;30;8;22;0;t0210;2021-02-06
dolnoœl¹skie;lubiñski;0;0;0;0;0;0;11;137;46;0;46;0;t0211;2021-02-06
dolnoœl¹skie;lwówecki;2;0.44;0;0;0;0;2;63;15;2;13;0;t0212;2021-02-06
dolnoœl¹skie;milicki;1;0.27;0;0;0;1;2;84;31;2;29;0;t0213;2021-02-06
dolnoœl¹skie;oleœnicki;12;1.12;0;0;0;0;4;310;71;12;59;0;t0214;2021-02-06
dolnoœl¹skie;o³awski;6;0.78;0;0;0;0;6;353;77;7;70;0;t0215;2021-02-06
dolnoœl¹skie;polkowicki;6;0.95;0;0;0;0;4;156;49;6;42;1;t0216;2021-02-06
dolnoœl¹skie;strzeliñski;0;0;0;0;0;0;5;60;35;0;35;0;t0217;2021-02-06
dolnoœl¹skie;œredzki;5;0.90;0;0;0;0;4;149;39;5;33;1;t0218;2021-02-06
dolnoœl¹skie;œwidnicki;7;0.45;0;0;0;2;15;517;60;7;49;4;t0219;2021-02-06
dolnoœl¹skie;trzebnicki;4;0.47;0;0;0;0;11;292;77;5;71;1;t0220;2021-02-06
dolnoœl¹skie;wa³brzyski;5;0.90;0;0;0;0;6;145;27;6;21;0;t0221;2021-02-06
dolnoœl¹skie;wo³owski;2;0.43;0;0;0;0;1;77;28;2;26;0;t0222;2021-02-06
dolnoœl¹skie;wroc³awski;22;1.43;0;0;0;0;21;653;179;27;150;2;t0223;2021-02-06
dolnoœl¹skie;z¹bkowicki;0;0;0;0;0;0;4;74;37;1;36;0;t0224;2021-02-06
dolnoœl¹skie;zgorzelecki;7;0.79;0;0;0;0;16;272;54;7;45;2;t0225;2021-02-06
dolnoœl¹skie;z³otoryjski;0;0;0;0;0;0;4;139;11;0;11;0;t0226;2021-02-06
dolnoœl¹skie;Jelenia Góra;15;1.90;0;0;0;1;13;186;69;15;54;0;t0261;2021-02-06
dolnoœl¹skie;Legnica;10;1.01;0;0;0;0;23;385;64;10;52;2;t0262;2021-02-06
dolnoœl¹skie;Wroc³aw;72;1.12;0;0;0;1;78;2276;831;76;751;4;t0264;2021-02-06
dolnoœl¹skie;Wa³brzych;15;1.36;0;0;0;0;13;253;72;16;56;0;t0265;2021-02-06
kujawsko-pomorskie;aleksandrowski;2;0.36;0;0;0;1;7;150;34;4;30;0;t0401;2021-02-06
kujawsko-pomorskie;brodnicki;0;0;0;0;0;0;12;251;26;0;25;1;t0402;2021-02-06
kujawsko-pomorskie;bydgoski;36;3.01;0;0;0;5;27;632;134;39;91;4;t0403;2021-02-06
kujawsko-pomorskie;che³miñski;14;2.70;0;0;0;1;12;409;58;23;34;1;t0404;2021-02-06
kujawsko-pomorskie;golubsko-dobrzyñski;5;1.11;1;1;0;0;12;229;19;6;11;2;t0405;2021-02-06
